,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of women executive board members,% women over total executive board members,Total numberof proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members ,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,% women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
0,Aedas Homes,9,1,0.111111111111111,1,0,0,3,0,0,5,1,0.2,0,0,0,9,3,0.333333333333333
1,Alantra,9,1,0.111111111111111,1,0,0,3,0,0,3,1,0.333333333333333,2,0,0,5,1,0.2
2,Almirall,11,2,0.181818181818182,1,0,0,4,0,0,6,2,0.333333333333333,0,0,0,7,1,0.142857142857143
3,Applus+,9,1,0.111111111111111,1,0,0,1,0,0,7,1,0.142857142857143,0,0,0,19,3,0.157894736842105
4,Atresmedia,13,4,0.307692307692308,2,0,0,6,0,0,4,4,1,1,0,0,10,1,0.1
5,Axiare Patrimonio Socimi,5,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
6,BME,12,2,0.166666666666667,3,0,0,2,0,0,6,2,0.333333333333333,1,0,0,9,2,0.222222222222222
7,Cementos Molins,13,4,0.307692307692308,1,0,0,8,2,0.25,3,2,0.666666666666667,1,0,0,10,1,0.1
8,Cie Automotive,13,2,0.153846153846154,3,0,0,8,2,0.25,2,0,0,0,0,0,11,3,0.272727272727273
9,Logista Holdings,10,1,0.1,2,0,0,4,0,0,4,1,0.25,0,0,0,12,2,0.166666666666667
10,CAF,10,3,0.3,2,1,0.5,1,0,0,5,2,0.4,2,0,0,10,1,0.1
11,Corporacion Financiera Alba,14,3,0.214285714285714,5,0,0,3,0,0,6,3,0.5,0,0,0,5,0,0
12,Ebro Foods,12,5,0.416666666666667,2,0,0,6,3,0.5,4,2,0.5,0,0,0,10,3,0.3
13,Elecnor,14,1,0.0714285714285714,1,0,0,10,0,0,2,1,0.5,1,0,0,3,0,0
14,Ence Energia Y Celulosa,13,1,0.0769230769230769,1,0,0,5,0,0,5,1,0.2,2,0,0,9,2,0.222222222222222
15,Euskaltel,12,3,0.25,2,0,0,4,1,0.25,6,2,0.333333333333333,0,0,0,10,1,0.1
16,Faes Farma,8,1,0.125,1,0,0,4,1,0.25,2,0,0,1,0,0,17,4,0.235294117647059
17,Fluidra,9,1,0.111111111111111,1,0,0,4,1,0.25,4,0,0,0,0,0,4,0,0
18,Fomento De Construcciones Y Contratas,15,4,0.266666666666667,2,0,0,10,4,0.4,3,0,0,0,0,0,5,0,0
19,Gestamp Automocion,12,1,0.0833333333333333,2,0,0,3,0,0,5,1,0.2,2,0,0,9,1,0.111111111111111
20,Dominion Global,12,2,0.166666666666667,3,0,0,5,1,0.2,4,1,0.25,0,0,0,9,2,0.222222222222222
21,Grupo Catalana Occidente,16,1,0.0625,4,0,0,10,1,0.1,2,0,0,0,0,0,6,0,0
22,Hispania Activos Inmobiliarios,7,1,0.142857142857143,0,0,0,1,0,0,4,0,0,2,1,0.5,0,0,0
23,Laboratorios Farmaceuticos Rovi,7,0,0,3,0,0,1,0,0,3,0,0,0,0,0,13,5,0.384615384615385
24,Lar España,7,1,0.142857142857143,0,0,0,2,0,0,5,1,0.2,0,0,0,4,1,0.25
25,Liberbank,13,3,0.230769230769231,1,0,0,7,1,0.142857142857143,4,2,0.5,1,0,0,17,2,0.117647058823529
26,Masmovil Ibercom,12,2,0.166666666666667,1,0,0,5,0,0,4,1,0.25,2,1,0.5,12,0,0
27,Miquel Y Costas,10,1,0.1,3,0,0,2,1,0.5,3,0,0,2,0,0,7,1,0.142857142857143
28,Neinor Homes,7,1,0.142857142857143,1,0,0,2,0,0,4,1,0.25,0,0,0,9,1,0.111111111111111
29,Nh Hotel Group,10,1,0.1,1,0,0,3,0,0,6,1,0.166666666666667,0,0,0,7,2,0.285714285714286
30,OHLA,12,3,0.25,1,0,0,6,1,0.166666666666667,5,2,0.4,0,0,0,10,0,0
31,Papeles Y Cartones De Europa,10,3,0.3,3,0,0,1,1,1,3,2,0.666666666666667,3,0,0,3,2,0.666666666666667
32,Parques Reunidos,6,0,0,1,0,0,2,0,0,3,0,0,0,0,0,11,3,0.272727272727273
33,Pharma Mar,9,2,0.222222222222222,2,0,0,2,1,0.5,4,1,0.25,1,0,0,6,2,0.333333333333333
34,Prosegur Cash,9,3,0.333333333333333,2,0,0,3,1,0.333333333333333,4,2,0.5,0,0,0,11,2,0.181818181818182
35,Prosegur,8,2,0.25,1,0,0,2,2,1,3,0,0,2,0,0,8,1,0.125
36,Realia,7,4,0.571428571428571,1,0,0,4,2,0.5,2,2,1,0,0,0,6,1,0.166666666666667
37,Saeta Yield,8,1,0.125,1,0,0,4,1,0.25,3,0,0,0,0,0,4,2,0.5
38,Talgo,13,1,0.0769230769230769,2,0,0,4,0,0,6,1,0.166666666666667,1,0,0,13,4,0.307692307692308
39,Unicaja Banco,13,3,0.230769230769231,4,1,0.25,3,0,0,5,2,0.4,1,0,0,10,0,0
40,Vidrala,10,3,0.3,0,0,0,5,1,0.2,2,1,0.5,3,1,0.333333333333333,13,0,0
41,Zardoya Otis,11,2,0.181818181818182,1,0,0,7,2,0.285714285714286,2,0,0,1,0,0,3,0,0
