,Company,rating,ratings number,conciliacion,compensacion/beneficios,estabilidad y desarrollo,gestion,cultura laboral,salary satisfaction
0,Alantra,"4,2",5,"2,0","4,0",,"4,7","4,7",
1,AmRest,"4,5",42,"4,3","4,0","4,3","4,4","4,5",33
2,Applus+,"3,8",815,"3,7","3,5","3,2","3,4","3,6",39
3,Atresmedia,"4,2",26,"4,0","3,6","3,4","3,8","4,1",52
4,Audax Renovables,"3,2",9,"3,0","2,4","2,8",,"2,6",19
5,Cementos Molins,"4,3",7,"4,6",,"4,2","4,3","4,3",
6,Logista Holdings,,303,"3,4","3,4","3,0","3,2","3,3",62
7,CAF,"3,9",134,"3,9","3,5","3,3","3,5","3,6",69
8,Acciona Energy,"4,0",1.108,"3,8","3,8","3,4","3,6","3,7",61
9,Corporacion Financiera Alba,"4,0",6,"3,8","3,8","3,0","3,8","3,8",
10,Dia,"3,7",4.023,"3,5","3,5","3,3","3,3","3,4",53
11,Ebro Foods,"4,6",5,"4,5","4,3",,,"4,8",
12,Elecnor,"3,9",419,"3,6","3,7","3,5","3,5","3,6",54
13,Ence Energia Y Celulosa,"4,1",22,"3,7","3,8","3,4","3,4","3,6",
14,Faes Farma,"3,9",9,"3,8","4,1","3,5","3,8","3,6",
15,Fomento De Construcciones Y Contratas,"4,0",41,"3,8","3,8","3,3","3,6","3,7",80
16,Gestamp Automocion,"3,4",1.604,"3,1","3,4","2,9","2,9","3,1",83
17,Dominion Global,"3,5",104,"3,4","3,2","3,1","3,2","3,2",
18,Grenergy Renovables,"4,3",3,"3,7",,,,"4,0",
19,Grupo Catalana Occidente,"3,6",148,"3,6","2,9","2,9","3,3","3,4",44
20,Linea Directa,"4,0",45,"4,0","4,0","3,6","3,8","3,8",63
21,Mediaset España,"4,2",150,"4,0","3,6","3,3","3,8","4,1",66
22,Metrovacesa,"4,1",13,"3,9","4,3","4,3","3,9","3,9",
23,Miquel Y Costas,"4,3",3,"4,0","4,0",,,"4,0",
24,Neinor Homes,"4,0",3,"3,7","3,0",,,"4,0",
25,Nh Hotel Group,"4,0",522,"3,8","3,6","3,6","3,7","3,8",70
26,OHLA,"3,3",3,"2,3","3,0","2,3","2,7","3,3",
27,Prosegur Cash,"4,0",5.896,"3,7","3,7","3,5","3,5","3,7",57
28,Prosegur,"4,0",5.896,"3,7","3,7","3,5","3,5","3,7",57
29,Realia,"4,2",9,"3,6","3,2","3,6","3,9","3,8",
30,Sacyr,"4,2",412,"3,9","4,0","3,6","3,8","3,8",66
31,Soltec Power Holdings,"4,2",43,"4,1","3,8","3,3","3,6","4,0",73
32,Talgo,"3,2",25,"2,7","3,1","2,8","3,0","3,1",
33,Unicaja Banco,"4,5",34,"4,5","4,3","3,5","3,9","4,1",89
34,Urbas Grupo Financiero,"3,5",2,"3,5",,,,"3,5",
35,Vidrala,"4,0",8,"3,9","4,4","3,9","3,9","3,6",83
36,Viscofan,"3,0",113,"2,6","3,2","2,5","2,4","2,5",
